            lon             lat
--------------- ---------------
 334.1100304513   36.2821961460
 113.1273166220   26.5690568020
  65.3793117575   36.8834757782
  72.2460459617   70.5429919889
 203.8721041620   49.2794369877
 213.7900343861   12.5688159151
 346.5525224799  -27.1377573441
 234.5121018933    2.3122277297
 269.0046013971    7.9230279227
 235.1288916401   64.8061238345
 268.5057009222   -6.3739026784
 345.5630407199   62.7357501864
   2.3773680193    8.0923989452
  37.4214392393   56.3695292877
 106.9560400295  -13.3346407123
 235.1764811331  -64.8124611688
 291.1613455741   46.0377185093
 313.4568223771   29.4418617236
 346.6390044061    5.6731972489
 259.9526054731   13.6285200114
 230.8499572344   42.7173564876
 258.0059912680   53.1526316961
 167.7011639724   -5.8341706961
 116.8939452379  -52.5096618856
 157.5400675992   41.2655665717
 262.3430590733   46.9699442201
 357.1976357911  -30.6391144328
 243.0089139753   -5.6978564881
 284.1361714068   16.6052953205
  60.9505227367  -14.3013177705
   9.0442111153  -22.9066009653
 287.8300817759   51.8236127104
 324.7330176793   11.7192720853
   8.1955928062   48.7203853731
 176.4180310235  -61.5345621163
 188.8227636894   14.6285974399
 214.1969297278   42.8897053983
  18.0452040751   12.0766607302
 321.6565079439   20.5764182087
 261.6542742589   23.3657433446
 294.4558317425   62.6248002554
 179.4382678334   50.2545765139
 290.7991342799  -41.4186702370
  33.8482835137   20.8194590147
  78.9039065411  -69.3138573126
  92.2998207566   35.5279754815
 167.8317528500   38.8899644149
 164.7843608666  -35.0458150820
 254.7938246951    2.3401230355
  63.2837736577   34.9437306545
 190.6821900472    0.9504565992
  58.4918178022   79.1133219725
 276.1179663926   -3.0203255864
 333.4898773790   -5.2402727051
 218.9618649352   46.4977055508
  53.1245120172   53.2542909435
 175.6186838863   18.1522446322
 135.0526524414   37.8084121024
 302.3421303771  -84.8264285240
 327.3973643804   15.9614170146
 137.3832076263   40.9620920882
 113.5287997735  -66.5810154738
 204.0028660851   10.7476361851
  67.1718991828  -37.6537108077
  44.7005275922  -11.0500212598
 246.8083123896  -18.4053516882
 288.0472744025   72.2467674294
 205.8972425334   27.8624226311
 349.8455504166   68.6510984151
 227.6392743590    5.6799002931
 319.0570476354  -36.6682105803
 177.7166484965  -39.2924670635
 125.8349282369   25.4474906892
 256.7621456668   45.9182425322
 180.7759085369   20.2617247206
  80.6668671460  -15.8319094217
  87.8988405635  -51.4058688450
 284.8350701162   14.0299325159
 177.6295891516  -38.7281382841
 328.6960880201  -34.2775849729
 339.6503779548  -24.4053859573
 191.3529356132   28.0908740051
  90.2609524460   -0.8508807911
 259.5750726042   68.8087704883
