Tool 1     Tool 2     System 1   System 2         Median         Mean          Max     Std.Dev.
kapteyn    pyast      fk4        ecliptic       0.240140     0.215617     0.273277     0.060939
kapteyn    pyephem    fk4        ecliptic    2171.957761  1959.795499  2514.951274   576.463932
kapteyn    pyslalib   fk4        ecliptic       0.059481     0.053744     0.068951     0.015814
pyast      pyephem    fk4        ecliptic    2171.896226  1959.823544  2514.983311   576.467048
pyast      pyslalib   fk4        ecliptic       0.252758     0.229163     0.289295     0.063551
pyephem    pyslalib   fk4        ecliptic    2171.898024  1959.741766  2514.882341   576.448122
astrolib   kapteyn    fk4        ecliptic    2170.662142  1958.940775  2514.267299   576.111702
astrolib   pyast      fk4        ecliptic    2170.686415  1958.968343  2514.295926   576.114875
astrolib   pyephem    fk4        ecliptic      25.729212    23.161857    29.526328     6.670718
astrolib   pyslalib   fk4        ecliptic    2170.602646  1958.887058  2514.198394   576.095898
astropy    kapteyn    icrs       fk5            0.000000     0.000000     0.000000     0.000000
astropy    pyast      icrs       fk5            0.000000     0.000000     0.000000     0.000000
astropy    pyslalib   icrs       fk5            0.000000     0.000000     0.000000     0.000000
kapteyn    pyast      icrs       fk5            0.000000     0.000000     0.000000     0.000000
kapteyn    pyslalib   icrs       fk5            0.000000     0.000000     0.000000     0.000000
pyast      pyslalib   icrs       fk5            0.000000     0.000000     0.000000     0.000000
astropy    kapteyn    icrs       fk4            0.000082     0.000075     0.000102     0.000022
astropy    pyast      icrs       fk4            0.000082     0.000075     0.000102     0.000022
astropy    pyslalib   icrs       fk4            0.000082     0.000075     0.000102     0.000022
kapteyn    pyast      icrs       fk4            0.000001     0.000001     0.000002     0.000000
kapteyn    pyslalib   icrs       fk4            0.000001     0.000001     0.000002     0.000000
pyast      pyslalib   icrs       fk4            0.000000     0.000000     0.000000     0.000000
astropy    kapteyn    icrs       galactic       0.000062     0.000056     0.000070     0.000016
astropy    pyast      icrs       galactic       0.000062     0.000056     0.000070     0.000016
astropy    pyslalib   icrs       galactic       0.000062     0.000056     0.000070     0.000016
