Tool 1     Tool 2     System 1   System 2         Median         Mean          Max     Std.Dev.
kapteyn    pyephem    fk4        galactic       0.459492     0.458129     0.860146     0.230674
kapteyn    pyslalib   fk4        galactic       0.217934     0.196145     0.249065     0.055752
pyast      pyephem    fk4        galactic       0.563261     0.569953     1.012050     0.253002
pyast      pyslalib   fk4        galactic       0.000000     0.000000     0.000000     0.000000
pyephem    pyslalib   fk4        galactic       0.563261     0.569953     1.012050     0.253002
astrolib   astropy    fk4        galactic       0.000000     0.000000     0.000000     0.000000
astrolib   kapteyn    fk4        galactic       0.000004     0.000004     0.000005     0.000001
astrolib   pyast      fk4        galactic       0.217933     0.196145     0.249069     0.055752
astrolib   pyephem    fk4        galactic       0.459495     0.458131     0.860151     0.230676
astrolib   pyslalib   fk4        galactic       0.217933     0.196145     0.249069     0.055752
kapteyn    pyast      fk4        ecliptic       0.240140     0.215617     0.273277     0.060939
kapteyn    pyephem    fk4        ecliptic    2171.957761  1959.795499  2514.951274   576.463932
kapteyn    pyslalib   fk4        ecliptic       0.219353     0.197609     0.252238     0.056954
pyast      pyephem    fk4        ecliptic    2171.896226  1959.823544  2514.983311   576.467048
pyast      pyslalib   fk4        ecliptic       0.075305     0.068355     0.086278     0.018902
pyephem    pyslalib   fk4        ecliptic    2171.831977  1959.763571  2514.906957   576.449673
astrolib   kapteyn    fk4        ecliptic    2170.664091  1958.931040  2514.269603   576.105718
astrolib   pyast      fk4        ecliptic    2170.688410  1958.958594  2514.298190   576.108892
astrolib   pyephem    fk4        ecliptic      26.540950    23.885736    30.447675     6.879478
astrolib   pyslalib   fk4        ecliptic    2170.623195  1958.898962  2514.222672   576.091632
astropy    kapteyn    icrs       fk5            0.000000     0.000000     0.000000     0.000000
astropy    novas      icrs       fk5            0.025768     0.023355     0.030023     0.006856
astropy    pyast      icrs       fk5            0.000000     0.000000     0.000000     0.000000
astropy    pyslalib   icrs       fk5            0.000000     0.000000     0.000000     0.000000
kapteyn    novas      icrs       fk5            0.025768     0.023355     0.030023     0.006856
kapteyn    pyast      icrs       fk5            0.000000     0.000000     0.000000     0.000000
kapteyn    pyslalib   icrs       fk5            0.000000     0.000000     0.000000     0.000000
novas      pyast      icrs       fk5            0.025768     0.023355     0.030023     0.006856
novas      pyslalib   icrs       fk5            0.025768     0.023355     0.030023     0.006856
pyast      pyslalib   icrs       fk5            0.000000     0.000000     0.000000     0.000000
astropy    kapteyn    icrs       fk4            0.000004     0.000004     0.000006     0.000001
astropy    pyast      icrs       fk4            0.004450     0.004217     0.006194     0.001322
astropy    pyslalib   icrs       fk4            0.004450     0.004217     0.006193     0.001322
kapteyn    pyast      icrs       fk4            0.004450     0.004216     0.006194     0.001322
kapteyn    pyslalib   icrs       fk4            0.004449     0.004216     0.006194     0.001322
pyast      pyslalib   icrs       fk4            0.000000     0.000000     0.000003     0.000000
astropy    kapteyn    icrs       galactic       0.349018     0.315269     0.403352     0.091704
astropy    pyast      icrs       galactic       0.349473     0.315815     0.404028     0.091816
astropy    pyslalib   icrs       galactic       0.349473     0.315815     0.404028     0.091816
kapteyn    pyast      icrs       galactic       0.001235     0.001110     0.001414     0.000319
kapteyn    pyslalib   icrs       galactic       0.001235     0.001110     0.001414     0.000319
pyast      pyslalib   icrs       galactic       0.000000     0.000000     0.000000     0.000000
kapteyn    novas      icrs       ecliptic       0.052716     0.048124     0.061352     0.013606
kapteyn    pyast      icrs       ecliptic       0.036442     0.033079     0.041557     0.008934
kapteyn    pyslalib   icrs       ecliptic       0.059455     0.053652     0.068848     0.015781
novas      pyast      icrs       ecliptic       0.026856     0.024571     0.031674     0.007105
novas      pyslalib   icrs       ecliptic       0.069170     0.062263     0.078201     0.017047
pyast      pyslalib   icrs       ecliptic       0.075274     0.068358     0.086278     0.018900
astropy    kapteyn    galactic   fk5            0.353279     0.322220     0.403353     0.086674
astropy    pyast      galactic   fk5            0.353843     0.322757     0.404031     0.086827
astropy    pyephem    galactic   fk5            0.352419     0.321956     0.403090     0.086617
astropy    pyslalib   galactic   fk5            0.353843     0.322757     0.404031     0.086827
kapteyn    pyast      galactic   fk5            0.001213     0.001098     0.001414     0.000326
kapteyn    pyephem    galactic   fk5            0.007894     0.007138     0.009162     0.002053
kapteyn    pyslalib   galactic   fk5            0.001213     0.001098     0.001414     0.000326
pyast      pyephem    galactic   fk5            0.008570     0.007780     0.009988     0.002224
pyast      pyslalib   galactic   fk5            0.000000     0.000000     0.000000     0.000000
pyephem    pyslalib   galactic   fk5            0.008570     0.007780     0.009988     0.002224
astrolib   astropy    galactic   fk5            0.244096     0.221208     0.279202     0.060342
astrolib   kapteyn    galactic   fk5            0.216474     0.194940     0.248947     0.056376
astrolib   pyast      galactic   fk5            0.217124     0.195036     0.249042     0.056383
astrolib   pyephem    galactic   fk5            0.221211     0.199488     0.254886     0.057882
astrolib   pyslalib   galactic   fk5            0.217124     0.195036     0.249042     0.056383
astropy    kapteyn    galactic   fk4            0.000004     0.000004     0.000005     0.000001
astropy    pyast      galactic   fk4            0.217123     0.195032     0.249037     0.056381
astropy    pyephem    galactic   fk4            0.448513     0.449965     0.858774     0.226540
astropy    pyslalib   galactic   fk4            0.217123     0.195032     0.249037     0.056381
kapteyn    pyast      galactic   fk4            0.217121     0.195032     0.249032     0.056381
kapteyn    pyephem    galactic   fk4            0.448511     0.449963     0.858769     0.226537
kapteyn    pyslalib   galactic   fk4            0.217121     0.195032     0.249032     0.056381
pyast      pyephem    galactic   fk4            0.543986     0.560180     1.009565     0.241864
pyast      pyslalib   galactic   fk4            0.000000     0.000000     0.000003     0.000000
pyephem    pyslalib   galactic   fk4            0.543986     0.560180     1.009565     0.241864
astrolib   astropy    galactic   fk4            0.000000     0.000000     0.000000     0.000000
astrolib   kapteyn    galactic   fk4            0.000004     0.000004     0.000005     0.000001
astrolib   pyast      galactic   fk4            0.217123     0.195032     0.249037     0.056381
astrolib   pyephem    galactic   fk4            0.448513     0.449965     0.858774     0.226540
astrolib   pyslalib   galactic   fk4            0.217123     0.195032     0.249037     0.056381
astropy    kapteyn    galactic   icrs           0.353279     0.322220     0.403353     0.086674
astropy    pyast      galactic   icrs           0.353843     0.322757     0.404031     0.086827
astropy    pyslalib   galactic   icrs           0.353843     0.322757     0.404031     0.086827
kapteyn    pyast      galactic   icrs           0.001213     0.001098     0.001414     0.000326
kapteyn    pyslalib   galactic   icrs           0.001213     0.001098     0.001414     0.000326
pyast      pyslalib   galactic   icrs           0.000000     0.000000     0.000000     0.000000
kapteyn    pyast      galactic   ecliptic       0.034859     0.031737     0.040328     0.008981
kapteyn    pyephem    galactic   ecliptic       0.007662     0.006871     0.008820     0.001985
kapteyn    pyslalib   galactic   ecliptic       0.060139     0.054354     0.068950     0.015447
pyast      pyephem    galactic   ecliptic       0.035546     0.032206     0.040944     0.009204
pyast      pyslalib   galactic   ecliptic       0.074122     0.067658     0.086278     0.018980
pyephem    pyslalib   galactic   ecliptic       0.056208     0.050926     0.064623     0.014520
astrolib   kapteyn    galactic   ecliptic    1837.319630  1665.684975  2112.033650   473.222293
astrolib   pyast      galactic   ecliptic    1837.317520  1665.689689  2112.040234   473.223585
astrolib   pyephem    galactic   ecliptic    1837.316822  1665.681103  2112.028742   473.221237
astrolib   pyslalib   galactic   ecliptic    1837.259809  1665.630651  2111.964742   473.206855
kapteyn    novas      ecliptic   fk5            0.036619     0.032998     0.042000     0.009518
kapteyn    pyast      ecliptic   fk5            0.036183     0.032943     0.041557     0.008885
kapteyn    pyephem    ecliptic   fk5            0.000524     0.000472     0.000601     0.000136
kapteyn    pyslalib   ecliptic   fk5            0.060109     0.054226     0.068848     0.015144
novas      pyast      ecliptic   fk5            0.020006     0.018190     0.023147     0.005122
novas      pyephem    ecliptic   fk5            0.037143     0.033470     0.042601     0.009654
novas      pyslalib   ecliptic   fk5            0.071104     0.064468     0.080980     0.017490
pyast      pyephem    ecliptic   fk5            0.036658     0.033343     0.042067     0.009002
pyast      pyslalib   ecliptic   fk5            0.075946     0.068819     0.086278     0.018634
pyephem    pyslalib   ecliptic   fk5            0.060135     0.054210     0.068845     0.015155
astrolib   kapteyn    ecliptic   fk5          701.919565   633.438989   804.656066   177.280940
astrolib   novas      ecliptic   fk5          701.923751   633.439632   804.655685   177.280072
astrolib   pyast      ecliptic   fk5          701.928589   633.445261   804.662551   177.281304
astrolib   pyephem    ecliptic   fk5          701.919505   633.438980   804.656071   177.280953
astrolib   pyslalib   ecliptic   fk5          701.859385   633.384773   804.587230   177.265798
kapteyn    pyast      ecliptic   fk4            0.237787     0.213535     0.273263     0.062337
kapteyn    pyephem    ecliptic   fk4            0.462955     0.462100     0.867306     0.233416
kapteyn    pyslalib   ecliptic   fk4            0.216124     0.195768     0.252205     0.058310
pyast      pyephem    ecliptic   fk4            0.577805     0.591124     1.036326     0.252128
pyast      pyslalib   ecliptic   fk4            0.075946     0.068819     0.086278     0.018634
